dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
cicddos2019-DNS,0.2,0.981,0.004,0.986,0.006,0.976,0.005,1.0,0.0
cicddos2019-LDAP1,0.2,0.984,0.004,0.991,0.004,0.978,0.007,0.987,0.011
cicddos2019-MSSQL1,0.2,0.983,0.006,0.99,0.009,0.977,0.01,1.0,0.0
cicddos2019-NETBIOS1,0.2,0.984,0.005,0.989,0.006,0.978,0.011,1.0,0.0
cicddos2019-NTP,0.2,0.969,0.003,0.987,0.004,0.951,0.004,0.941,0.006
cicddos2019-SNMP,0.2,0.978,0.003,0.978,0.005,0.977,0.008,0.979,0.006
cicddos2019-SSDP,0.2,0.986,0.004,0.982,0.011,0.989,0.007,1.0,0.0
cicddos2019-UDP1,0.2,0.987,0.005,0.991,0.006,0.982,0.011,0.98,0.042
cicddos2019-SYN1,0.2,0.966,0.021,0.966,0.019,0.968,0.035,1.0,0.0
cicddos2019-TFTP,0.2,0.959,0.002,0.989,0.003,0.928,0.005,0.992,0.009
cicddos2019-UDPLAG1,0.2,0.983,0.005,0.989,0.006,0.976,0.007,0.985,0.004
cicddos2019-LDAP2,0.2,0.934,0.007,0.9,0.012,0.975,0.006,0.991,0.01
cicddos2019-MSSQL2,0.2,0.955,0.007,0.935,0.007,0.98,0.008,1.0,0.0
cicddos2019-NETBIOS2,0.2,0.942,0.007,0.922,0.015,0.969,0.007,0.841,0.024
cicddos2019-PORTMAP,0.2,0.967,0.003,0.958,0.005,0.978,0.005,0.953,0.003
cicddos2019-SYN2,0.2,0.921,0.003,0.914,0.006,0.93,0.004,0.928,0.003
cicddos2019-UDPLAG2,0.2,0.945,0.007,0.924,0.01,0.97,0.01,0.944,0.016
cicddos2019-UDP2,0.2,0.952,0.006,0.924,0.011,0.986,0.006,1.0,0.0
cicddos2019,0.2,0.914,0.001,0.913,0.002,0.914,0.002,0.915,0.002
cicdos2017,0.2,0.716,0.004,0.637,0.005,1.0,0.0,0.429,0.0
cicids2017-botnet,0.2,0.966,0.006,0.948,0.01,0.985,0.008,0.949,0.004
cicids2017-bruteforce,0.2,0.996,0.001,0.991,0.002,1.0,0.0,0.992,0.0
cicids2017-ddos,0.2,0.955,0.001,0.917,0.002,1.0,0.0,1.0,0.0
cicids2017-dos,0.2,0.945,0.001,0.9,0.001,1.0,0.0,0.889,0.0
cicids2017-portscan,0.2,0.945,0.001,0.937,0.003,0.955,0.004,0.953,0.004
cicids2017-webattacks,0.2,0.942,0.005,0.896,0.009,1.0,0.0,0.889,0.0
cicids2017,0.2,0.903,0.001,0.853,0.002,0.975,0.002,0.832,0.002
csecicids2018-botnet,0.2,0.992,0.0,1.0,0.0,0.984,0.0,1.0,0.0
csecicids2018-bruteforce,0.2,1.0,0.0,0.999,0.0,1.0,0.0,0.999,0.0
csecicids2018-ddos1,0.2,0.898,0.0,0.831,0.0,1.0,0.0,1.0,0.0
csecicids2018-ddos2,0.2,0.998,0.0,0.995,0.0,1.0,0.0,1.0,0.0
csecicids2018-dos1,0.2,0.904,0.002,0.838,0.003,1.0,0.0,0.813,0.0
csecicids2018-dos2,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
csecicids2018-infiltration1,0.2,0.77,0.007,0.719,0.009,0.89,0.008,0.659,0.0
csecicids2018-infiltration2,0.2,0.618,0.001,0.75,0.009,0.352,0.008,0.883,0.008
csecicids2018-webattacks1,0.2,0.918,0.018,0.851,0.031,1.0,0.0,0.828,0.001
csecicids2018-webattacks2,0.2,0.894,0.02,0.828,0.033,0.998,0.004,0.806,0.0
csecicids2018,0.2,0.907,0.0,0.87,0.001,0.956,0.0,0.857,0.0
