dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
cicddos2019-DNS,0.2,0.999,0.001,1.0,0.001,0.998,0.001,1.0,0.0
cicddos2019-LDAP1,0.2,0.999,0.002,0.999,0.003,1.0,0.0,0.992,0.0
cicddos2019-MSSQL1,0.2,1.0,0.001,1.0,0.0,0.999,0.001,1.0,0.0
cicddos2019-NETBIOS1,0.2,1.0,0.001,0.999,0.003,1.0,0.0,1.0,0.0
cicddos2019-NTP,0.2,0.999,0.0,1.0,0.0,0.998,0.001,1.0,0.0
cicddos2019-SNMP,0.2,1.0,0.001,0.999,0.002,1.0,0.0,1.0,0.0
cicddos2019-SSDP,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
cicddos2019-UDP1,0.2,1.0,0.001,0.999,0.002,1.0,0.0,1.0,0.0
cicddos2019-SYN1,0.2,0.986,0.01,0.973,0.019,1.0,0.0,0.955,0.0
cicddos2019-TFTP,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
cicddos2019-UDPLAG1,0.2,0.999,0.001,0.999,0.001,0.998,0.002,1.0,0.0
cicddos2019-LDAP2,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
cicddos2019-MSSQL2,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
cicddos2019-NETBIOS2,0.2,0.999,0.002,0.998,0.004,0.999,0.002,1.0,0.0
cicddos2019-PORTMAP,0.2,0.998,0.001,0.999,0.002,0.998,0.001,1.0,0.002
cicddos2019-SYN2,0.2,0.999,0.0,1.0,0.0,0.999,0.0,1.0,0.0
cicddos2019-UDPLAG2,0.2,0.999,0.001,1.0,0.0,0.999,0.001,1.0,0.0
cicddos2019-UDP2,0.2,1.0,0.0,1.0,0.001,1.0,0.0,1.0,0.0
cicddos2019,0.2,1.0,0.0,1.0,0.0,0.999,0.0,0.999,0.0
cicdos2017,0.2,0.994,0.001,0.999,0.0,0.988,0.001,0.999,0.0
cicids2017-botnet,0.2,0.825,0.014,0.779,0.022,0.917,0.032,0.72,0.033
cicids2017-bruteforce,0.2,1.0,0.0,0.999,0.0,1.0,0.0,0.999,0.0
cicids2017-ddos,0.2,0.999,0.0,0.998,0.0,1.0,0.0,1.0,0.0
cicids2017-dos,0.2,0.997,0.0,0.995,0.0,1.0,0.0,0.995,0.0
cicids2017-portscan,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
cicids2017-webattacks,0.2,1.0,0.001,0.999,0.002,1.0,0.0,0.998,0.0
cicids2017,0.2,0.997,0.0,0.998,0.0,0.996,0.0,0.998,0.0
