dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
cicddos2019-DNS,0.2,0.996,0.003,0.996,0.005,0.997,0.003,0.996,0.006
cicddos2019-LDAP1,0.2,0.997,0.002,0.997,0.003,0.998,0.004,0.996,0.006
cicddos2019-MSSQL1,0.2,0.855,0.01,0.887,0.016,0.811,0.025,0.888,0.019
cicddos2019-NETBIOS1,0.2,0.993,0.003,0.995,0.003,0.991,0.006,0.97,0.021
cicddos2019-NTP,0.2,0.997,0.001,0.998,0.002,0.996,0.002,1.0,0.0
cicddos2019-SNMP,0.2,0.998,0.003,0.999,0.002,0.997,0.004,0.996,0.007
cicddos2019-SSDP,0.2,0.855,0.01,0.83,0.022,0.907,0.028,0.9,0.211
cicddos2019-UDP1,0.2,0.852,0.011,0.81,0.009,0.917,0.026,0.97,0.067
cicddos2019-SYN1,0.2,0.852,0.032,0.898,0.046,0.806,0.042,0.841,0.049
cicddos2019-TFTP,0.2,0.937,0.002,0.952,0.004,0.922,0.004,0.945,0.002
cicddos2019-UDPLAG1,0.2,0.839,0.008,0.902,0.022,0.763,0.019,0.911,0.016
cicddos2019-LDAP2,0.2,0.998,0.001,0.998,0.001,0.999,0.002,1.0,0.0
cicddos2019-MSSQL2,0.2,0.827,0.01,0.833,0.014,0.824,0.025,0.908,0.032
cicddos2019-NETBIOS2,0.2,0.997,0.004,0.998,0.004,0.996,0.005,1.0,0.0
cicddos2019-PORTMAP,0.2,0.996,0.002,0.997,0.003,0.994,0.003,0.993,0.003
cicddos2019-SYN2,0.2,0.808,0.004,0.835,0.006,0.769,0.005,0.753,0.002
cicddos2019-UDPLAG2,0.2,0.812,0.009,0.823,0.016,0.794,0.022,0.822,0.02
cicddos2019-UDP2,0.2,0.826,0.009,0.765,0.012,0.94,0.014,1.0,0.0
cicddos2019,0.2,0.877,0.002,0.903,0.004,0.844,0.004,0.854,0.002
cicdos2017,0.2,0.888,0.002,0.867,0.006,0.918,0.009,0.854,0.007
cicids2017-botnet,0.2,0.905,0.01,0.864,0.015,0.963,0.011,0.84,0.008
cicids2017-bruteforce,0.2,0.803,0.005,0.719,0.006,0.995,0.002,0.611,0.002
cicids2017-ddos,0.2,0.776,0.002,0.737,0.004,0.858,0.007,0.856,0.006
cicids2017-dos,0.2,0.746,0.001,0.714,0.003,0.821,0.003,0.672,0.004
cicids2017-portscan,0.2,0.794,0.005,0.785,0.011,0.809,0.026,0.81,0.027
cicids2017-webattacks,0.2,0.749,0.012,0.704,0.015,0.857,0.028,0.663,0.019
cicids2017,0.2,0.711,0.001,0.682,0.004,0.79,0.012,0.63,0.012
