dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
cicddos2019-DNS,0.2,0.829,0.007,0.817,0.007,0.848,0.015,0.905,0.0
cicddos2019-LDAP1,0.2,0.583,0.012,0.651,0.036,0.338,0.022,0.323,0.013
cicddos2019-MSSQL1,0.2,0.683,0.015,0.642,0.016,0.86,0.02,0.412,0.0
cicddos2019-NETBIOS1,0.2,0.629,0.016,0.58,0.021,0.906,0.013,0.348,0.0
cicddos2019-NTP,0.2,0.947,0.003,0.909,0.005,0.993,0.002,0.984,0.0
cicddos2019-SNMP,0.2,0.702,0.013,0.762,0.022,0.589,0.027,0.679,0.0
cicddos2019-SSDP,0.2,0.645,0.027,0.608,0.048,0.801,0.095,0.5,0.0
cicddos2019-UDP1,0.2,0.706,0.017,0.676,0.037,0.809,0.086,0.84,0.084
cicddos2019-SYN1,0.2,0.531,0.037,0.669,0.176,0.405,0.287,0.682,0.335
cicddos2019-TFTP,0.2,0.901,0.002,0.853,0.004,0.971,0.002,0.852,0.0
cicddos2019-UDPLAG1,0.2,0.962,0.005,0.947,0.008,0.979,0.005,0.959,0.0
cicddos2019-LDAP2,0.2,0.724,0.011,0.661,0.014,0.921,0.006,0.951,0.0
cicddos2019-MSSQL2,0.2,0.584,0.011,0.573,0.022,0.696,0.156,0.777,0.156
cicddos2019-NETBIOS2,0.2,0.673,0.01,0.661,0.016,0.715,0.014,0.727,0.0
cicddos2019-PORTMAP,0.2,0.972,0.004,0.953,0.006,0.993,0.003,0.961,0.0
cicddos2019-SYN2,0.2,0.983,0.001,0.969,0.001,0.998,0.001,0.998,0.0
cicddos2019-UDPLAG2,0.2,0.945,0.004,0.915,0.009,0.982,0.006,0.924,0.0
cicddos2019-UDP2,0.2,0.756,0.013,0.677,0.018,0.988,0.004,1.0,0.0
cicddos2019,0.2,0.874,0.004,0.825,0.022,0.951,0.035,0.953,0.038
cicdos2017,0.2,0.93,0.005,0.889,0.01,0.983,0.002,0.876,0.009
cicids2017-botnet,0.2,0.782,0.014,0.787,0.017,0.77,0.02,0.781,0.014
cicids2017-bruteforce,0.2,0.823,0.005,0.74,0.007,0.995,0.001,0.653,0.0
cicids2017-ddos,0.2,0.734,0.002,0.655,0.002,0.989,0.0,0.99,0.0
cicids2017-dos,0.2,0.941,0.0,0.934,0.001,0.948,0.001,0.933,0.0
cicids2017-portscan,0.2,0.941,0.001,0.905,0.002,0.985,0.001,0.983,0.0
cicids2017-webattacks,0.2,0.817,0.011,0.742,0.018,0.973,0.008,0.664,0.002
cicids2017,0.2,0.948,0.001,0.958,0.002,0.939,0.001,0.957,0.002
csecicids2018-botnet,0.2,0.713,0.001,0.666,0.003,0.856,0.006,0.567,0.006
csecicids2018-bruteforce,0.2,0.827,0.001,0.815,0.008,0.845,0.013,0.807,0.014
csecicids2018-ddos1,0.2,0.933,0.0,0.883,0.001,0.999,0.0,0.999,0.0
csecicids2018-ddos2,0.2,0.726,0.001,1.0,0.0,0.453,0.001,0.452,0.0
csecicids2018-dos1,0.2,0.925,0.002,0.872,0.003,0.997,0.0,0.854,0.0
csecicids2018-dos2,0.2,0.532,0.001,0.544,0.002,0.39,0.002,0.393,0.0
csecicids2018-infiltration1,0.2,0.825,0.005,0.751,0.009,0.97,0.005,0.688,0.005
csecicids2018-infiltration2,0.2,0.923,0.002,0.869,0.002,0.995,0.003,0.852,0.002
csecicids2018-webattacks1,0.2,0.863,0.029,0.808,0.045,0.951,0.028,0.755,0.008
csecicids2018-webattacks2,0.2,0.858,0.021,0.796,0.034,0.965,0.021,0.74,0.004
csecicids2018,0.2,0.858,0.001,0.801,0.002,0.952,0.001,0.764,0.002
