dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
cidds-001-external-2,0.2,0.993,0.003,0.986,0.005,1.0,0.0,0.985,0.004
cidds-001-external-3,0.2,0.987,0.002,0.977,0.003,0.997,0.002,0.977,0.003
cidds-001-external-4,0.2,0.989,0.005,0.979,0.01,1.0,0.0,0.987,0.004
cidds-001-internal-1,0.2,0.932,0.004,0.964,0.008,0.897,0.005,0.967,0.008
cidds-001-internal-2,0.2,0.968,0.0,0.986,0.0,0.951,0.0,0.986,0.0
cidds-002-internal-1,0.2,0.841,0.002,0.829,0.01,0.859,0.012,0.822,0.015
cidds-002-internal-2,0.2,0.814,0.002,0.778,0.004,0.878,0.004,0.751,0.006
cidds-001-internal,0.2,0.944,0.001,0.943,0.003,0.945,0.003,0.943,0.004
cidds-001-external,0.2,0.989,0.002,0.98,0.004,0.998,0.001,0.979,0.003
cidds-001,0.2,0.941,0.001,0.944,0.006,0.938,0.005,0.944,0.006
cidds-002,0.2,0.816,0.004,0.783,0.004,0.875,0.006,0.758,0.005
