dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
cidds-001-external-2,0.2,0.745,0.011,0.966,0.106,0.546,0.16,0.95,0.159
cidds-001-external-3,0.2,0.781,0.004,0.695,0.004,1.0,0.0,0.557,0.0
cidds-001-external-4,0.2,0.764,0.013,0.68,0.017,1.0,0.0,0.516,0.0
cidds-001-internal-1,0.2,0.953,0.001,0.943,0.0,0.965,0.001,0.942,0.0
cidds-001-internal-2,0.2,0.929,0.0,0.89,0.0,0.981,0.001,0.878,0.0
cidds-002-internal-1,0.2,0.857,0.002,0.78,0.007,0.993,0.01,0.721,0.014
cidds-002-internal-2,0.2,0.866,0.001,0.789,0.001,0.999,0.001,0.733,0.001
cidds-001-internal,0.2,0.937,0.0,0.908,0.0,0.972,0.0,0.902,0.0
cidds-001-external,0.2,0.758,0.002,0.673,0.003,1.0,0.0,0.516,0.0
cidds-001,0.2,0.934,0.001,0.91,0.001,0.963,0.001,0.904,0.001
cidds-002,0.2,0.861,0.001,0.783,0.001,0.999,0.001,0.722,0.001
