dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
cidds-001-external-2,0.2,0.871,0.006,0.898,0.007,0.836,0.013,0.913,0.005
cidds-001-external-3,0.2,0.822,0.004,0.809,0.007,0.845,0.01,0.796,0.008
cidds-001-external-4,0.2,0.865,0.016,0.915,0.023,0.81,0.035,0.911,0.012
cidds-001-internal-1,0.2,0.691,0.002,0.658,0.003,0.797,0.015,0.586,0.013
cidds-001-internal-2,0.2,0.696,0.001,0.662,0.002,0.802,0.002,0.589,0.003
cidds-002-internal-1,0.2,0.936,0.004,0.955,0.006,0.915,0.006,0.956,0.006
cidds-002-internal-2,0.2,0.923,0.006,0.976,0.006,0.869,0.011,0.979,0.005
cidds-001-internal,0.2,0.701,0.0,0.671,0.001,0.791,0.0,0.612,0.001
cidds-001-external,0.2,0.827,0.006,0.816,0.009,0.846,0.01,0.811,0.01
cidds-001,0.2,0.699,0.001,0.67,0.001,0.786,0.002,0.613,0.001
cidds-002,0.2,0.901,0.007,0.957,0.009,0.84,0.015,0.962,0.009
