dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
cidds-001-external-2,0.2,0.745,0.012,0.831,0.178,0.743,0.271,0.751,0.263
cidds-001-external-3,0.2,0.804,0.005,1.0,0.0,0.607,0.01,1.0,0.0
cidds-001-external-4,0.2,0.741,0.015,0.858,0.183,0.71,0.25,0.793,0.267
cidds-001-internal-1,0.2,0.968,0.0,0.947,0.0,0.991,0.0,0.945,0.0
cidds-001-internal-2,0.2,0.936,0.001,0.889,0.001,0.996,0.001,0.876,0.001
cidds-002-internal-1,0.2,0.886,0.002,0.846,0.003,0.944,0.009,0.829,0.005
cidds-002-internal-2,0.2,0.897,0.0,0.843,0.001,0.975,0.0,0.819,0.0
cidds-001-internal,0.2,0.95,0.0,0.914,0.001,0.993,0.001,0.906,0.001
cidds-001-external,0.2,0.791,0.005,1.0,0.0,0.581,0.007,1.0,0.0
cidds-001,0.2,0.948,0.0,0.913,0.0,0.99,0.0,0.905,0.0
cidds-002,0.2,0.89,0.001,0.838,0.001,0.966,0.001,0.814,0.0
