dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
cidds-001-external-2,0.2,0.872,0.008,0.903,0.011,0.835,0.013,0.919,0.004
cidds-001-external-3,0.2,0.879,0.004,0.867,0.008,0.897,0.008,0.866,0.006
cidds-001-external-4,0.2,0.869,0.009,0.923,0.014,0.802,0.021,0.92,0.011
cidds-001-internal-1,0.2,0.69,0.002,0.652,0.002,0.815,0.005,0.566,0.006
cidds-001-internal-2,0.2,0.695,0.001,0.661,0.001,0.8,0.001,0.591,0.001
cidds-002-internal-1,0.2,0.943,0.004,0.948,0.009,0.936,0.004,0.949,0.009
cidds-002-internal-2,0.2,0.932,0.018,0.964,0.007,0.897,0.041,0.966,0.008
cidds-001-internal,0.2,0.7,0.001,0.668,0.0,0.796,0.003,0.604,0.002
cidds-001-external,0.2,0.865,0.003,0.857,0.007,0.874,0.004,0.856,0.005
cidds-001,0.2,0.701,0.001,0.668,0.001,0.799,0.005,0.602,0.004
cidds-002,0.2,0.907,0.006,0.899,0.009,0.916,0.006,0.898,0.011
