dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
cicddos2019-DNS,0.8,0.984,0.001,0.994,0.002,0.975,0.004,0.95,0.015
cicddos2019-LDAP1,0.8,0.979,0.008,0.99,0.017,0.967,0.007,0.962,0.017
cicddos2019-MSSQL1,0.8,0.984,0.003,0.997,0.002,0.971,0.007,0.994,0.019
cicddos2019-NETBIOS1,0.8,0.979,0.004,0.995,0.003,0.962,0.009,1.0,0.0
cicddos2019-NTP,0.8,0.968,0.001,0.982,0.004,0.954,0.003,0.967,0.008
cicddos2019-SNMP,0.8,0.976,0.004,0.985,0.005,0.967,0.009,0.975,0.009
cicddos2019-SSDP,0.8,0.978,0.007,0.986,0.013,0.969,0.01,1.0,0.0
cicddos2019-UDP1,0.8,0.989,0.002,0.996,0.003,0.982,0.004,0.98,0.042
cicddos2019-SYN1,0.8,0.945,0.022,0.943,0.041,0.947,0.023,0.9,0.08
cicddos2019-TFTP,0.8,0.957,0.001,0.974,0.002,0.938,0.001,0.973,0.007
cicddos2019-UDPLAG1,0.8,0.986,0.002,0.996,0.002,0.975,0.004,0.998,0.003
cicddos2019-LDAP2,0.8,0.933,0.003,0.92,0.006,0.949,0.009,0.943,0.027
cicddos2019-MSSQL2,0.8,0.952,0.004,0.942,0.007,0.963,0.011,0.992,0.024
cicddos2019-NETBIOS2,0.8,0.939,0.006,0.927,0.007,0.952,0.012,0.977,0.024
cicddos2019-PORTMAP,0.8,0.969,0.002,0.965,0.003,0.973,0.004,0.943,0.002
cicddos2019-SYN2,0.8,0.92,0.001,0.905,0.005,0.938,0.005,0.942,0.006
cicddos2019-UDPLAG2,0.8,0.949,0.003,0.945,0.007,0.953,0.011,0.961,0.01
cicddos2019-UDP2,0.8,0.954,0.004,0.943,0.007,0.966,0.007,1.0,0.0
cicddos2019,0.8,0.915,0.0,0.909,0.004,0.922,0.004,0.926,0.004
cicdos2017,0.8,0.715,0.0,0.637,0.001,1.0,0.0,0.429,0.0
cicids2017-botnet,0.8,0.968,0.005,0.951,0.007,0.987,0.011,0.948,0.004
cicids2017-bruteforce,0.8,0.996,0.0,0.992,0.001,1.0,0.0,0.992,0.0
cicids2017-ddos,0.8,0.954,0.0,0.916,0.001,1.0,0.0,1.0,0.0
cicids2017-dos,0.8,0.945,0.0,0.9,0.0,1.0,0.0,0.889,0.0
cicids2017-portscan,0.8,0.981,0.001,0.977,0.002,0.986,0.0,0.985,0.001
cicids2017-webattacks,0.8,0.947,0.002,0.905,0.003,1.0,0.0,0.886,0.0
cicids2017,0.8,0.918,0.0,0.865,0.001,0.991,0.0,0.845,0.001
