dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
cidds-001-external-2,0.8,0.879,0.004,0.915,0.006,0.837,0.009,0.916,0.006
cidds-001-external-3,0.8,0.837,0.002,0.832,0.004,0.844,0.007,0.829,0.006
cidds-001-external-4,0.8,0.846,0.009,0.885,0.015,0.795,0.01,0.904,0.018
cidds-001-internal-1,0.8,0.71,0.001,0.68,0.002,0.793,0.006,0.626,0.005
cidds-001-internal-2,0.8,0.705,0.0,0.662,0.001,0.837,0.005,0.573,0.005
cidds-002-internal-1,0.8,0.971,0.001,0.984,0.001,0.957,0.001,0.985,0.001
cidds-002-internal-2,0.8,0.963,0.001,0.98,0.001,0.945,0.002,0.981,0.001
cidds-001-internal,0.8,0.712,0.0,0.675,0.0,0.817,0.001,0.608,0.001
cidds-001-external,0.8,0.846,0.002,0.845,0.004,0.847,0.008,0.843,0.005
cidds-001,0.8,0.712,0.0,0.676,0.001,0.814,0.002,0.611,0.002
cidds-002,0.8,0.967,0.002,0.986,0.001,0.947,0.004,0.986,0.001
cidds-001-external-2,0.2,0.897,0.007,0.926,0.01,0.86,0.013,0.933,0.003
cidds-001-external-3,0.2,0.859,0.004,0.851,0.007,0.872,0.007,0.847,0.002
cidds-001-external-4,0.2,0.861,0.018,0.907,0.019,0.804,0.03,0.916,0.011
cidds-001-internal-1,0.2,0.71,0.0,0.68,0.001,0.793,0.003,0.626,0.003
cidds-001-internal-2,0.2,0.707,0.001,0.664,0.001,0.84,0.002,0.573,0.002
cidds-002-internal-1,0.2,0.973,0.0,0.988,0.0,0.959,0.001,0.988,0.0
cidds-002-internal-2,0.2,0.966,0.001,0.983,0.001,0.948,0.002,0.983,0.0
cidds-001-internal,0.2,0.712,0.001,0.676,0.001,0.816,0.001,0.609,0.001
cidds-001-external,0.2,0.864,0.004,0.859,0.005,0.871,0.004,0.857,0.001
cidds-001,0.2,0.712,0.0,0.676,0.001,0.814,0.001,0.611,0.0
cidds-002,0.2,0.963,0.005,0.989,0.001,0.937,0.009,0.989,0.001
