dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
ctu13-12,0.8,0.749,0.011,0.729,0.006,0.793,0.032,0.703,0.011
ctu13-13,0.8,0.837,0.001,0.96,0.001,0.703,0.002,0.97,0.0
ctu13-1,0.8,0.791,0.001,0.72,0.001,0.951,0.001,0.631,0.0
ctu13-2,0.8,0.875,0.001,0.863,0.002,0.893,0.002,0.863,0.002
ctu13-3,0.8,0.991,0.001,0.985,0.002,0.996,0.001,0.983,0.001
ctu13-5,0.8,0.845,0.01,0.864,0.074,0.837,0.098,0.863,0.095
ctu13-8,0.8,0.952,0.005,0.98,0.007,0.923,0.007,0.985,0.004
ctu13-9,0.8,0.712,0.0,0.651,0.0,0.913,0.0,0.51,0.0
ctu13,0.8,0.705,0.0,0.648,0.0,0.899,0.0,0.51,0.0
ctu13-12,0.2,0.749,0.015,0.727,0.018,0.794,0.025,0.71,0.003
ctu13-13,0.2,0.837,0.002,0.96,0.003,0.702,0.005,0.97,0.0
ctu13-1,0.2,0.793,0.004,0.721,0.007,0.954,0.003,0.632,0.0
ctu13-2,0.2,0.881,0.006,0.868,0.01,0.897,0.007,0.865,0.001
ctu13-3,0.2,0.992,0.002,0.989,0.004,0.995,0.003,0.984,0.0
ctu13-5,0.2,0.845,0.013,0.89,0.084,0.808,0.113,0.892,0.089
ctu13-8,0.2,0.966,0.008,0.994,0.005,0.937,0.014,0.994,0.001
ctu13-9,0.2,0.711,0.002,0.651,0.003,0.913,0.001,0.511,0.0
ctu13,0.2,0.706,0.002,0.649,0.002,0.9,0.002,0.511,0.0
