dataset,test_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_remainder_mean,accuracy_remainder_std
iscxids2012,0.8,0.659,0.001,0.955,0.006,0.334,0.002,0.984,0.002
iscxids2012-1,0.8,0.666,0.015,0.879,0.109,0.433,0.179,0.9,0.202
iscxids2012-2,0.8,0.996,0.0,0.992,0.001,1.0,0.0,0.993,0.0
iscxids2012-3,0.8,0.951,0.002,0.984,0.002,0.917,0.004,0.983,0.001
iscxids2012-5,0.8,0.999,0.0,0.999,0.0,1.0,0.0,0.999,0.0
iscxids2012-9,0.8,0.579,0.001,0.543,0.001,1.0,0.0,0.159,0.0
iscxids2012,0.2,0.663,0.002,0.964,0.004,0.34,0.004,0.987,0.001
iscxids2012-1,0.2,0.679,0.013,0.945,0.009,0.375,0.022,0.978,0.003
iscxids2012-2,0.2,0.997,0.002,0.995,0.003,1.0,0.0,0.993,0.0
iscxids2012-3,0.2,0.953,0.003,0.984,0.002,0.922,0.005,0.984,0.001
iscxids2012-5,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
iscxids2012-9,0.2,0.579,0.003,0.544,0.003,1.0,0.0,0.159,0.0
